1 KEY_ZL 0;0 0;0
2 NONE 0;0 0;0
3 NONE 0;0 0;0
4 NONE 0;0 0;0
5 NONE 0;0 0;0
6 KEY_ZL 0;0 0;0
7 KEY_Y;KEY_ZL 0;0 0;0
8 KEY_Y;KEY_ZL 0;0 0;0
9 KEY_X;KEY_ZL 0;0 0;0
10 KEY_Y;KEY_ZL 0;0 0;0
11 KEY_X;KEY_ZL 0;0 0;0
12 KEY_Y;KEY_ZL 0;0 0;0
13 KEY_X;KEY_ZL 0;0 0;0
14 KEY_Y;KEY_ZL 0;0 0;0
15 KEY_X;KEY_ZL 0;0 0;0
16 KEY_Y;KEY_ZL 0;0 0;0
17 KEY_X;KEY_ZL 0;0 0;0
18 KEY_Y;KEY_ZL 0;0 0;0
19 KEY_X;KEY_ZL 0;0 0;0
20 KEY_Y;KEY_ZL 0;0 0;0
21 KEY_X;KEY_ZL 0;0 0;0
22 KEY_Y;KEY_ZL 0;0 0;0
23 KEY_X;KEY_ZL 0;0 0;0
24 KEY_Y;KEY_ZL 0;0 0;0
25 KEY_X;KEY_ZL 0;0 0;0
26 KEY_Y;KEY_ZL 0;0 0;0
27 KEY_X;KEY_ZL 0;0 0;0
28 KEY_Y;KEY_ZL 0;0 0;0
29 KEY_X;KEY_ZL 0;0 0;0
30 KEY_Y;KEY_ZL 0;0 0;0
31 KEY_X;KEY_ZL 0;0 0;0
32 KEY_Y;KEY_ZL 0;0 0;0
33 KEY_X;KEY_ZL 0;0 0;0
34 KEY_Y;KEY_ZL 0;0 0;0
35 KEY_X;KEY_ZL 0;0 0;0
36 KEY_Y;KEY_ZL 0;0 0;0
37 KEY_X;KEY_ZL 0;0 0;0
38 KEY_Y;KEY_ZL 0;0 0;0
39 KEY_X;KEY_ZL 0;0 0;0
40 KEY_Y;KEY_ZL 0;0 0;0
41 KEY_X;KEY_ZL 0;0 0;0
42 KEY_Y;KEY_ZL 0;0 0;0
43 KEY_X;KEY_ZL 0;0 0;0
44 KEY_Y;KEY_ZL 0;0 0;0
45 KEY_X;KEY_ZL 0;0 0;0
46 KEY_Y;KEY_ZL 0;0 0;0
47 KEY_X;KEY_ZL 0;0 0;0
48 KEY_Y;KEY_ZL 0;0 0;0
49 KEY_X;KEY_ZL 0;0 0;0
50 KEY_Y;KEY_ZL 0;0 0;0
51 KEY_X;KEY_ZL 0;0 0;0
52 KEY_Y;KEY_ZL 0;0 0;0
53 KEY_X;KEY_ZL 0;0 0;0
54 KEY_Y;KEY_ZL 0;0 0;0
55 KEY_X;KEY_ZL 0;0 0;0
56 KEY_Y;KEY_ZL 0;0 0;0
57 KEY_X;KEY_ZL 0;0 0;0
58 KEY_Y;KEY_ZL 0;0 0;0
59 KEY_X;KEY_ZL 0;0 0;0
60 KEY_Y;KEY_ZL 0;0 0;0
61 KEY_X;KEY_ZL 0;0 0;0
62 KEY_Y;KEY_ZL 0;0 0;0
63 KEY_X;KEY_ZL 0;0 0;0
64 KEY_Y;KEY_ZL 0;0 0;0
65 KEY_X;KEY_ZL 0;0 0;0
66 KEY_Y;KEY_ZL 0;0 0;0
67 KEY_X;KEY_ZL 0;0 0;0
68 KEY_Y;KEY_ZL 0;0 0;0
69 KEY_X;KEY_ZL 0;0 0;0
70 KEY_Y;KEY_ZL 0;0 0;0
71 KEY_X;KEY_ZL 0;0 0;0
72 KEY_Y;KEY_ZL 0;0 0;0
73 KEY_X;KEY_ZL 0;0 0;0
74 KEY_Y;KEY_ZL 0;0 0;0
75 KEY_X;KEY_ZL 0;0 0;0
76 KEY_Y;KEY_ZL 0;0 0;0
77 KEY_X;KEY_ZL 0;0 0;0
78 KEY_Y;KEY_ZL 0;0 0;0
79 KEY_X;KEY_ZL 0;0 0;0
80 KEY_Y;KEY_ZL 0;0 0;0
81 KEY_X;KEY_ZL 0;0 0;0
82 KEY_Y;KEY_ZL 0;0 0;0
83 KEY_X;KEY_ZL 0;0 0;0
84 KEY_Y;KEY_ZL 0;0 0;0
85 KEY_X;KEY_ZL 0;0 0;0
86 KEY_Y;KEY_ZL 0;0 0;0
87 KEY_X;KEY_ZL 0;0 0;0
88 KEY_Y;KEY_ZL 0;0 0;0
89 KEY_X;KEY_ZL 0;0 0;0
90 KEY_Y;KEY_ZL 0;0 0;0
91 KEY_X;KEY_ZL 0;0 0;0
92 KEY_Y;KEY_ZL 0;0 0;0
93 KEY_X;KEY_ZL 0;0 0;0
94 KEY_Y;KEY_ZL 0;0 0;0
95 KEY_X;KEY_ZL 0;0 0;0
96 KEY_Y;KEY_ZL 0;0 0;0
97 KEY_X;KEY_ZL 0;0 0;0
98 KEY_Y;KEY_ZL 0;0 0;0
99 KEY_X;KEY_ZL 0;0 0;0
100 KEY_Y;KEY_ZL 0;0 0;0
101 KEY_X;KEY_ZL 0;0 0;0
102 KEY_Y;KEY_ZL 0;0 0;0
103 KEY_X;KEY_ZL 0;0 0;0
104 KEY_Y;KEY_ZL 0;0 0;0
105 KEY_X;KEY_ZL 0;0 0;0
106 KEY_Y;KEY_ZL 0;0 0;0
107 KEY_X;KEY_ZL 0;0 0;0
108 KEY_Y;KEY_ZL 0;0 0;0
109 KEY_X;KEY_ZL 0;0 0;0
110 KEY_Y;KEY_ZL 0;0 0;0
111 KEY_X;KEY_ZL 0;0 0;0
112 KEY_Y;KEY_ZL 0;0 0;0
113 KEY_X;KEY_ZL 0;0 0;0
114 KEY_Y;KEY_ZL 0;0 0;0
115 KEY_X;KEY_ZL 0;0 0;0
116 KEY_Y;KEY_ZL 0;0 0;0
117 KEY_X;KEY_ZL 0;0 0;0
118 KEY_Y;KEY_ZL 0;0 0;0
119 KEY_X;KEY_ZL 0;0 0;0
120 KEY_Y;KEY_ZL 0;0 0;0
121 KEY_X;KEY_ZL 0;0 0;0
122 KEY_Y;KEY_ZL 0;0 0;0
123 KEY_X;KEY_ZL 0;0 0;0
124 KEY_Y;KEY_ZL 0;0 0;0
125 KEY_X;KEY_ZL 0;0 0;0
126 KEY_Y;KEY_ZL 0;0 0;0
127 KEY_X;KEY_ZL 0;0 0;0
128 KEY_Y;KEY_ZL 0;0 0;0
129 KEY_X;KEY_ZL 0;0 0;0
130 KEY_Y;KEY_ZL 0;0 0;0
131 KEY_X;KEY_ZL 0;0 0;0
132 KEY_Y;KEY_ZL 0;0 0;0
133 KEY_X;KEY_ZL 0;0 0;0
134 KEY_Y;KEY_ZL 0;0 0;0
135 KEY_X;KEY_ZL 0;0 0;0
136 KEY_Y;KEY_ZL 0;0 0;0
137 KEY_X;KEY_ZL 0;0 0;0
138 KEY_Y;KEY_ZL 0;0 0;0
139 KEY_X;KEY_ZL 0;0 0;0
140 KEY_Y;KEY_ZL 0;0 0;0
141 KEY_X;KEY_ZL 0;0 0;0
142 KEY_Y;KEY_ZL 0;0 0;0
143 KEY_X;KEY_ZL 0;0 0;0
144 KEY_Y;KEY_ZL 0;0 0;0
145 KEY_X;KEY_ZL 0;0 0;0
146 KEY_Y;KEY_ZL 0;0 0;0
147 KEY_X;KEY_ZL 0;0 0;0
148 KEY_Y;KEY_ZL 0;0 0;0
149 KEY_X;KEY_ZL 0;0 0;0
150 KEY_Y;KEY_ZL 0;0 0;0
151 KEY_X;KEY_ZL 0;0 0;0
152 KEY_Y;KEY_ZL 0;0 0;0
153 KEY_X;KEY_ZL 0;0 0;0
154 KEY_Y;KEY_ZL 0;0 0;0
155 KEY_X;KEY_ZL 0;0 0;0
156 KEY_Y;KEY_ZL 0;0 0;0
157 KEY_X;KEY_ZL 0;0 0;0
158 KEY_Y;KEY_ZL 0;0 0;0
159 KEY_X;KEY_ZL 0;0 0;0
160 KEY_Y;KEY_ZL 0;0 0;0
161 KEY_X;KEY_ZL 0;0 0;0
162 KEY_Y;KEY_ZL 0;0 0;0
163 KEY_X;KEY_ZL 0;0 0;0
164 KEY_Y;KEY_ZL 0;0 0;0
165 KEY_X;KEY_ZL 0;0 0;0
166 KEY_Y;KEY_ZL 0;0 0;0
167 KEY_X;KEY_ZL 0;0 0;0
168 KEY_Y;KEY_ZL 0;0 0;0
169 KEY_X;KEY_ZL 0;0 0;0
170 KEY_Y;KEY_ZL 0;0 0;0
171 KEY_X;KEY_ZL 0;0 0;0
172 KEY_Y;KEY_ZL 0;0 0;0
173 KEY_X;KEY_ZL 0;0 0;0
174 KEY_Y;KEY_ZL 0;0 0;0
175 KEY_X;KEY_ZL 0;0 0;0
176 KEY_Y;KEY_ZL 0;0 0;0
177 KEY_X;KEY_ZL 0;0 0;0
178 KEY_Y;KEY_ZL 0;0 0;0
179 KEY_X;KEY_ZL 0;0 0;0
180 KEY_Y;KEY_ZL 0;0 0;0
181 KEY_X;KEY_ZL 0;0 0;0
182 KEY_Y;KEY_ZL 0;0 0;0
183 KEY_X;KEY_ZL 0;0 0;0
184 KEY_Y;KEY_ZL 0;0 0;0
185 KEY_X;KEY_ZL 0;0 0;0
186 KEY_Y;KEY_ZL 0;0 0;0
187 KEY_X;KEY_ZL 0;0 0;0
188 KEY_Y;KEY_ZL 0;0 0;0
189 KEY_X;KEY_ZL 0;0 0;0
190 KEY_Y;KEY_ZL 0;0 0;0
191 KEY_X;KEY_ZL 0;0 0;0
192 KEY_Y;KEY_ZL 0;0 0;0
193 KEY_X;KEY_ZL 0;0 0;0
194 KEY_Y;KEY_ZL 0;0 0;0
195 KEY_X;KEY_ZL 0;0 0;0
196 KEY_Y;KEY_ZL 0;0 0;0
197 KEY_X;KEY_ZL 0;0 0;0
198 KEY_Y;KEY_ZL 0;0 0;0
199 KEY_X;KEY_ZL 0;0 0;0
200 KEY_Y;KEY_ZL 0;0 0;0
201 KEY_X;KEY_ZL 0;0 0;0
202 KEY_Y;KEY_ZL 0;0 0;0
203 KEY_X;KEY_ZL 0;0 0;0
204 NONE 0;32000 0;0
205 NONE -28377;-16383 0;0
206 NONE 28377;-16383 0;0
207 NONE 0;32000 0;0
208 NONE -28377;-16383 0;0
209 NONE 28377;-16383 0;0
210 NONE 0;32000 0;0
211 NONE -28377;-16383 0;0
212 NONE 28377;-16383 0;0
213 NONE 0;32000 0;0
214 NONE -28377;-16383 0;0
215 NONE 28377;-16383 0;0
216 NONE 0;32000 0;0
217 NONE -28377;-16383 0;0
218 NONE 28377;-16383 0;0
219 NONE 0;32000 0;0
220 NONE -28377;-16383 0;0
221 NONE 28377;-16383 0;0
222 NONE 0;32000 0;0
223 NONE -28377;-16383 0;0
224 NONE 28377;-16383 0;0
225 NONE 0;32000 0;0
226 NONE -28377;-16383 0;0
227 NONE 28377;-16383 0;0
228 NONE 0;32000 0;0
229 NONE -28377;-16383 0;0
230 NONE 28377;-16383 0;0
231 NONE 0;32000 0;0
232 NONE -28377;-16383 0;0
233 NONE 28377;-16383 0;0
234 NONE 0;32000 0;0
235 NONE -28377;-16383 0;0
236 NONE 28377;-16383 0;0
237 NONE 0;32000 0;0
238 NONE -28377;-16383 0;0
239 NONE 28377;-16383 0;0
240 NONE 0;32000 0;0
241 NONE -28377;-16383 0;0
242 NONE 28377;-16383 0;0
243 NONE 0;32000 0;0
244 NONE -28377;-16383 0;0
245 NONE 28377;-16383 0;0
246 NONE 0;32000 0;0
247 NONE -28377;-16383 0;0
248 NONE 28377;-16383 0;0
249 NONE 0;32000 0;0
250 NONE -28377;-16383 0;0
251 NONE 28377;-16383 0;0
252 KEY_B 0;0 0;0
253 KEY_ZL -15000;-29132 0;0
254 KEY_ZL -15000;-29132 0;0
255 KEY_ZL -15000;-29132 0;0
256 KEY_ZL -15000;-29132 0;0
257 KEY_ZL -15000;-29132 0;0
258 KEY_ZL -15000;-29132 0;0
259 KEY_ZL -15000;-29132 0;0
260 KEY_Y;KEY_ZL -15000;-29132 0;0
261 NONE -15000;-29132 0;0
262 NONE -15000;-29132 0;0
263 NONE -15000;-29132 0;0
264 NONE -15000;-29132 0;0
265 NONE -15000;-29132 0;0
266 NONE -15000;-29132 0;0
267 NONE -15000;-29132 0;0
268 NONE -15000;-29132 0;0
269 NONE -15000;-29132 0;0
270 NONE -15000;-29132 0;0
271 NONE 0;0 0;0
272 NONE 0;0 0;0
273 NONE 0;0 0;0
274 NONE 0;0 0;0
275 NONE 0;0 0;0
276 NONE 0;0 0;0
277 NONE 0;0 0;0
278 NONE 0;0 0;0
279 NONE 0;0 0;0
280 NONE 0;0 0;0
281 NONE 0;0 0;0
282 NONE 0;0 0;0
283 NONE 0;0 0;0
284 NONE 0;0 0;0
285 NONE 0;0 0;0
286 NONE 0;0 0;0
287 NONE 0;0 0;0
288 NONE 0;0 0;0
289 NONE 0;0 0;0
290 NONE 0;0 0;0
291 NONE 0;0 0;0
292 NONE 0;0 0;0
293 NONE 0;0 0;0
294 NONE 0;0 0;0
295 NONE 0;0 0;0
296 NONE 0;0 0;0
297 NONE 0;0 0;0
298 NONE 0;0 0;0
299 NONE 0;0 0;0
300 NONE 0;0 0;0
301 NONE 0;0 0;0
302 NONE 0;0 0;0
303 NONE 0;0 0;0
304 NONE 0;0 0;0
305 NONE 0;0 0;0
306 NONE 0;0 0;0
307 NONE 0;0 0;0
308 NONE 0;0 0;0
309 NONE 0;0 0;0
310 NONE 0;0 0;0
311 NONE 0;0 0;0
312 NONE 0;0 0;0
313 NONE 0;0 0;0
314 NONE 0;0 0;0
315 NONE 0;0 0;0
316 NONE 0;0 0;0
317 NONE 0;0 0;0
318 NONE 0;0 0;0
319 NONE 0;0 0;0
320 NONE 0;0 0;0
321 NONE 0;0 0;0
322 NONE 0;0 0;0
323 NONE 0;0 0;0
324 NONE 0;0 0;0
325 NONE 0;0 0;0
326 NONE 0;0 0;0
327 NONE 0;0 0;0
328 NONE 0;0 0;0
329 NONE 0;0 0;0
330 NONE 0;0 0;0
331 NONE 0;0 0;0
332 NONE 0;0 0;0
333 NONE 0;0 0;0
334 NONE 0;0 0;0
335 NONE 0;0 0;0
336 NONE 0;0 0;0
337 NONE 0;0 0;0
338 NONE 0;0 0;0
339 NONE 0;0 0;0
340 NONE 0;0 0;0
341 NONE 0;0 0;0
342 NONE 0;0 0;0
343 NONE 0;0 0;0
344 NONE 0;0 0;0
345 NONE 0;0 0;0
346 NONE 0;0 0;0
347 NONE 0;0 0;0
348 NONE 0;0 0;0
349 NONE 0;0 0;0
350 NONE 0;0 0;0
351 NONE 0;0 0;0
352 NONE 0;0 0;0
353 NONE 0;0 0;0
354 NONE 0;0 0;0
355 NONE 0;0 0;0
356 NONE 0;0 0;0
357 NONE 0;0 0;0
358 NONE 0;0 0;0
359 NONE 0;0 0;0
360 NONE 0;0 0;0
361 NONE 0;0 0;0
362 NONE 0;0 0;0
363 NONE 0;0 0;0
364 NONE 0;0 0;0
365 NONE 0;0 0;0
